hs6,io185_name,io52_idx,io52_name
051191,FishProcess,12,FoodMan
051199,OthAquatic,7,Fishery
060110,DecorPlants,2,HortiCrops
060120,DecorPlants,2,HortiCrops
060210,DecorPlants,2,HortiCrops
060220,DecorPlants,2,HortiCrops
060290,DecorPlants,2,HortiCrops
060311,DecorPlants,2,HortiCrops
060313,DecorPlants,2,HortiCrops
060314,DecorPlants,2,HortiCrops
060315,DecorPlants,2,HortiCrops
060319,DecorPlants,2,HortiCrops
060390,DecorPlants,2,HortiCrops
060420,DecorPlants,2,HortiCrops
060490,DecorPlants,2,HortiCrops
070190,Vegetables,2,HortiCrops
070200,Vegetables,2,HortiCrops
070310,Vegetables,2,HortiCrops
070320,Vegetables,2,HortiCrops
070390,Vegetables,2,HortiCrops
070410,Vegetables,2,HortiCrops
070490,Vegetables,2,HortiCrops
070511,Vegetables,2,HortiCrops
070519,Vegetables,2,HortiCrops
070610,Vegetables,2,HortiCrops
070690,Vegetables,2,HortiCrops
070700,Vegetables,2,HortiCrops
070810,Vegetables,2,HortiCrops
070820,OthNuts,1,FoodCrops
070890,Vegetables,2,HortiCrops
070920,Vegetables,2,HortiCrops
070930,Vegetables,2,HortiCrops
070940,Vegetables,2,HortiCrops
070951,Vegetables,2,HortiCrops
070959,Vegetables,2,HortiCrops
070960,Vegetables,2,HortiCrops
070993,Vegetables,2,HortiCrops
070999,Vegetables,2,HortiCrops
071010,VegFruitProc,12,FoodMan
071021,VegFruitProc,12,FoodMan
071022,VegFruitProc,12,FoodMan
071029,VegFruitProc,12,FoodMan
071040,VegFruitProc,12,FoodMan
071080,VegFruitProc,12,FoodMan
071090,VegFruitProc,12,FoodMan
071151,VegFruitProc,12,FoodMan
071190,VegFruitProc,12,FoodMan
071220,VegFruitProc,12,FoodMan
071231,VegFruitProc,12,FoodMan
071232,VegFruitProc,12,FoodMan
071233,VegFruitProc,12,FoodMan
071239,VegFruitProc,12,FoodMan
071290,VegFruitProc,12,FoodMan
071310,Vegetables,2,HortiCrops
071320,Vegetables,2,HortiCrops
071331,Vegetables,2,HortiCrops
071332,Vegetables,2,HortiCrops
071333,Vegetables,2,HortiCrops
071339,Vegetables,2,HortiCrops
071390,Vegetables,2,HortiCrops
