country,year,ngdp_rpch
USA,1980,-0.257
USA,1981,2.537
USA,1982,-1.803
USA,1983,4.584
USA,1984,7.236
USA,1985,4.169
USA,1986,3.463
USA,1987,3.455
USA,1988,4.177
USA,1989,3.672
USA,1990,1.886
USA,1991,-0.109
USA,1992,3.522
USA,1993,2.752
USA,1994,4.029
USA,1995,2.685
USA,1996,3.773
USA,1997,4.447
USA,1998,4.483
USA,1999,4.788
USA,2000,4.078
USA,2001,0.956
USA,2002,1.7
USA,2003,2.796
USA,2004,3.848
USA,2005,3.483
USA,2006,2.785
USA,2007,2.004
USA,2008,0.114
USA,2009,-2.576
USA,2010,2.695
USA,2011,1.564
USA,2012,2.289
USA,2013,2.118
USA,2014,2.524
USA,2015,2.946
USA,2016,1.82
USA,2017,2.458
USA,2018,2.967
USA,2019,2.584
USA,2020,-2.163
USA,2021,6.055
USA,2022,2.512
USA,2023,2.887
USA,2024,2.796
USA,2025,1.826
USA,2026,1.744
USA,2027,1.983
USA,2028,2.122
USA,2029,2.122
USA,2030,2.122
GBR,1980,-2.05
GBR,1981,-0.688
GBR,1982,1.965
GBR,1983,4.166
GBR,1984,2.221
GBR,1985,4.087
GBR,1986,3.108
GBR,1987,5.42
GBR,1988,5.376
GBR,1989,2.402
GBR,1990,0.561
GBR,1991,-1.405
GBR,1992,0.245
GBR,1993,2.259
GBR,1994,3.409
GBR,1995,2.386
GBR,1996,2.582
GBR,1997,4.925
GBR,1998,3.403
GBR,1999,3.058
GBR,2000,4.342
GBR,2001,2.573
GBR,2002,1.796
GBR,2003,3.152
GBR,2004,2.458
GBR,2005,2.733
GBR,2006,2.381
GBR,2007,2.625
GBR,2008,-0.249
GBR,2009,-4.621
GBR,2010,2.233
GBR,2011,1.138
GBR,2012,1.509
GBR,2013,1.8
GBR,2014,3.195
GBR,2015,2.223
GBR,2016,1.922
GBR,2017,2.657
GBR,2018,1.405
GBR,2019,1.624
GBR,2020,-10.297
GBR,2021,8.576
GBR,2022,4.839
GBR,2023,0.397
GBR,2024,1.101
GBR,2025,1.077
GBR,2026,1.407
GBR,2027,1.538
GBR,2028,1.457
GBR,2029,1.442
GBR,2030,1.436
AUT,1980,2.314
AUT,1981,-0.099
AUT,1982,1.908
AUT,1983,2.804
AUT,1984,0.332
AUT,1985,2.243
AUT,1986,2.341
AUT,1987,1.681
AUT,1988,0.961
AUT,1989,3.887
AUT,1990,4.346
AUT,1991,3.442
AUT,1992,2.094
AUT,1993,0.527
AUT,1994,2.402
AUT,1995,2.668
AUT,1996,2.398
AUT,1997,2.146
AUT,1998,3.493
AUT,1999,3.762
AUT,2000,3.19
AUT,2001,1.317
AUT,2002,1.484
AUT,2003,1.142
AUT,2004,2.565
AUT,2005,2.32
AUT,2006,3.269
AUT,2007,3.775
AUT,2008,1.453
AUT,2009,-3.586
AUT,2010,1.809
AUT,2011,2.927
AUT,2012,0.628
AUT,2013,-0.251
AUT,2014,0.756
AUT,2015,1.303
AUT,2016,2.117
AUT,2017,2.272
AUT,2018,2.484
AUT,2019,1.755
AUT,2020,-6.318
AUT,2021,4.795
AUT,2022,5.278
AUT,2023,-0.955
AUT,2024,-1.174
AUT,2025,-0.261
AUT,2026,0.775
AUT,2027,1.623
AUT,2028,1.181
AUT,2029,1.073
AUT,2030,0.869
