country,year,ngdp_rpch
ALB,2004,5.5
ALB,2005,5.5
ALB,2006,5.9
ALB,2007,6.0
ALB,2008,7.5
ALB,2009,3.4
ALB,2010,3.7
ALB,2011,2.5
ALB,2012,1.4
ALB,2013,1.0
ALB,2014,1.8
ALB,2015,2.2
ALB,2016,3.9
ALB,2017,3.3
ALB,2018,3.7
ALB,2019,2.1
ALB,2020,-3.3
ALB,2021,9.0
ALB,2022,4.8
ALB,2023,4.0
ALB,2024,4.0
ALB,2025,3.7
ALB,2026,3.4
ALB,2027,3.2
ALB,2028,3.2
ALB,2029,3.2
ALB,2030,3.2
ALB,2031,3.2
AND,2001,8.1
AND,2002,4.5
AND,2003,8.7
AND,2004,8.1
AND,2005,5.4
AND,2006,4.8
AND,2007,1.6
AND,2008,-5.6
AND,2009,-5.3
AND,2010,-2.0
AND,2011,0.0
AND,2012,-5.0
AND,2013,-3.5
AND,2014,2.5
AND,2015,1.4
AND,2016,3.7
AND,2017,0.3
AND,2018,1.6
AND,2019,2.0
AND,2020,-11.2
AND,2021,8.3
AND,2022,9.6
AND,2023,2.6
AND,2024,3.8
AND,2025,3.9
AND,2026,2.1
AND,2027,1.8
AND,2028,1.7
AND,2029,1.6
AND,2030,1.5
AND,2031,1.5
APQ,1980,4.5
APQ,1981,5.2
APQ,1982,4.2
APQ,1983,5.4
APQ,1984,6.4
APQ,1985,5.8
APQ,1986,5.3
APQ,1987,6.8
APQ,1988,7.7
APQ,1989,5.4
APQ,1990,5.7
APQ,1991,5.0
APQ,1992,5.5
APQ,1993,5.2
APQ,1994,5.4
APQ,1995,6.3
APQ,1996,6.4
APQ,1997,4.8
APQ,1998,1.3
APQ,1999,4.5
APQ,2000,5.7
APQ,2001,3.7
APQ,2002,5.0
APQ,2003,6.0
APQ,2004,6.9
APQ,2005,7.0
APQ,2006,7.5
APQ,2007,8.1
APQ,2008,4.8
APQ,2009,3.9
APQ,2010,8.0
APQ,2011,6.1
APQ,2012,5.6
APQ,2013,5.8
APQ,2014,5.6
APQ,2015,5.6
APQ,2016,5.4
APQ,2017,5.7
APQ,2018,5.4
APQ,2019,4.3
APQ,2020,-0.8
APQ,2021,7.3
APQ,2022,4.3
APQ,2023,4.7
APQ,2024,4.6
APQ,2025,4.9
APQ,2026,4.4
APQ,2027,4.2
APQ,2028,4.2
APQ,2029,4.1
APQ,2030,4.0
APQ,2031,4.0
ARE,1980,-1.8
ARE,1981,8.0
ARE,1982,-7.2
ARE,1983,-5.2
ARE,1984,4.5
ARE,1985,-2.5
ARE,1986,-19.3
ARE,1987,5.3
ARE,1988,-2.6
ARE,1989,15.7
ARE,1990,23.6
ARE,1991,2.2
ARE,1992,3.1
ARE,1993,0.3
ARE,1994,7.4
ARE,1995,6.6
ARE,1996,5.4
ARE,1997,8.6
ARE,1998,0.9
ARE,1999,3.8
ARE,2000,12.3
ARE,2001,1.4
ARE,2002,2.4
ARE,2003,8.8
ARE,2004,9.6
ARE,2005,4.9
ARE,2006,9.8
ARE,2007,3.2
ARE,2008,3.2
ARE,2009,-5.2
ARE,2010,7.9
ARE,2011,6.7
