sector_52,sector_name,country_iso,country_name,export_usd,sector_total,w_kc
2,HortiCrops,HKG,"China, Hong Kong SAR",50545949.842,410082789.236,0.1232579156422756
2,HortiCrops,IND,India,29366158.808,410082789.236,0.0716103176695376
2,HortiCrops,IRN,Iran,53835460.658,410082789.236,0.1312794929977372
2,HortiCrops,IRQ,Iraq,632729.38,410082789.236,0.0015429308339879
2,HortiCrops,ISR,Israel,70229.05,410082789.236,0.0001712557850351
2,HortiCrops,ITA,Italy,126530.63,410082789.236,0.0003085489889388
2,HortiCrops,JOR,Jordan,61824.08,410082789.236,0.0001507599968171
2,HortiCrops,JPN,Japan,10002883.766,410082789.236,0.0243923520531933
2,HortiCrops,KAZ,Kazakhstan,4924.5,410082789.236,1.2008550783549177e-05
2,HortiCrops,KGZ,Kyrgyzstan,20800.0,410082789.236,5.072146538690687e-05
2,HortiCrops,KHM,Cambodia,1447475.76,410082789.236,0.0035297159451551
2,HortiCrops,KOR,Rep. of Korea,1515625.695,410082789.236,0.0036959017417523
2,HortiCrops,KWT,Kuwait,326436.87,410082789.236,0.0007960267501305
2,HortiCrops,LAO,Lao People's Dem. Rep.,550.0,410082789.236,1.341192594365326e-06
2,HortiCrops,LBN,Lebanon,3444.25,410082789.236,8.398913805714134e-06
2,HortiCrops,LBY,Libya,60750.0,410082789.236,0.0001481408183776
2,HortiCrops,LKA,Sri Lanka,923472.5,410082789.236,0.0022519172329091
2,HortiCrops,MAR,Morocco,11788.68,410082789.236,2.87470732969866e-05
2,HortiCrops,MDV,Maldives,1258466.4,410082789.236,0.0030688105744319
2,HortiCrops,MEX,Mexico,117.07,410082789.236,2.85478940040634e-07
2,HortiCrops,MUS,Mauritius,9718.0,410082789.236,2.369765387644043e-05
2,HortiCrops,MYS,Malaysia,24942375.589,410082789.236,0.0608227807742641
2,HortiCrops,NGA,Nigeria,6773.568,410082789.236,1.6517562252781732e-05
2,HortiCrops,NLD,Netherlands,8424322.469,410082789.236,0.0205429798326694
2,HortiCrops,NOR,Norway,12202.17,410082789.236,2.975538188943045e-05
2,HortiCrops,NPL,Nepal,1420073.44,410082789.236,0.0034628945112416
2,HortiCrops,NZL,New Zealand,8385.4,410082789.236,2.0448066146892734e-05
2,HortiCrops,OMN,Oman,815256.2100000001,410082789.236,0.0019880283479315
2,HortiCrops,PAK,Pakistan,13065251.98,410082789.236,0.0318600349074416
2,HortiCrops,PER,Peru,1332.72,410082789.236,3.249880353386468e-06
2,HortiCrops,PHL,Philippines,10910438.495,410082789.236,0.0266054532923134
2,HortiCrops,PNG,Papua New Guinea,11839.029,410082789.236,2.8869850944138782e-05
2,HortiCrops,POL,Poland,54588.16,410082789.236,0.0001331149744218
2,HortiCrops,PRT,Portugal,648.0,410082789.236,1.5801687293613295e-06
2,HortiCrops,QAT,Qatar,339174.64,410082789.236,0.0008270882097536
2,HortiCrops,ROU,Romania,7395.25,410082789.236,1.803355369723669e-05
2,HortiCrops,RUS,Russian Federation,377814.27,410082789.236,0.0009213121835809
2,HortiCrops,S19,"Other Asia, nes",18114305.66,410082789.236,0.0441723138241125
2,HortiCrops,SAU,Saudi Arabia,2309477.022,410082789.236,0.0056317335977514
2,HortiCrops,SDN,Sudan,44925.0,410082789.236,0.0001095510496397
2,HortiCrops,SGP,Singapore,17685417.92,410082789.236,0.0431264573501087
2,HortiCrops,SUR,Suriname,34473.19,410082789.236,8.406397660390694e-05
2,HortiCrops,SWE,Sweden,2.144,410082789.236,5.228212586035016e-09
2,HortiCrops,SYR,Syria,3254.0,410082789.236,7.93498309466322e-06
2,HortiCrops,TGO,Togo,10.0,410082789.236,2.438531989755138e-08
2,HortiCrops,THA,Thailand,12167075.205,410082789.236,0.029669802109149
2,HortiCrops,TLS,Timor-Leste,492785.686,410082789.236,0.0012016736594044
2,HortiCrops,TUN,Tunisia,33965.37,410082789.236,8.282564128886948e-05
2,HortiCrops,TUR,Türkiye,33573.553,410082789.236,8.187018300023958e-05
2,HortiCrops,USA,USA,2713071.295,410082789.236,0.0066159111433438
2,HortiCrops,UZB,Uzbekistan,205.0,410082789.236,4.998990578998034e-07
2,HortiCrops,VNM,Viet Nam,2213199.625,410082789.236,0.0053969580852765
2,HortiCrops,VUT,Vanuatu,9168.0,410082789.236,2.2356461282075106e-05
2,HortiCrops,YEM,Yemen,25300.0,410082789.236,6.1694859340805e-05
2,HortiCrops,ZAF,South Africa,84256.24,410082789.236,0.0002054615365764
2,HortiCrops,ZMB,Zambia,8880.2,410082789.236,2.165465177542358e-05
3,Estates,AFG,Afghanistan,95199.5,1893945408.763,5.026517636650257e-05
3,Estates,AGO,Angola,34060.0,1893945408.763,1.798362288712732e-05
3,Estates,ARE,United Arab Emirates,33866391.47,1893945408.763,0.0178813979079361
3,Estates,ARG,Argentina,2955488.61,1893945408.763,0.0015604930302243
3,Estates,ARM,Armenia,6158178.668,1893945408.763,0.0032515080104775
3,Estates,ASM,American Samoa,3540.0,1893945408.763,1.869114064017344e-06
3,Estates,AUS,Australia,10282198.805,1893945408.763,0.0054289837275276
3,Estates,AZE,Azerbaijan,17906.25,1893945408.763,9.454469974240271e-06
3,Estates,BEL,Belgium,25039522.847000003,1893945408.763,0.0132208260761613
3,Estates,BEN,Benin,304041.0,1893945408.763,0.0001605331381745
3,Estates,BGD,Bangladesh,40500397.699,1893945408.763,0.0213841420727391
