sector_52,country_iso,country_name,export_usd,sector_total,w_kc
2,GRD,Grenada,96.0,3480021099.888,2.7586039637256694e-08
2,GTM,Guatemala,1696776.01,3480021099.888,0.00048757635695214854
2,HKG,"China, Hong Kong SAR",56459215.835999995,3480021099.888,0.016223814228545068
2,HND,Honduras,169970.08,3480021099.888,4.8841680875288444e-05
2,HRV,Croatia,437003.85,3480021099.888,0.00012557505758056017
2,HTI,Haiti,1063890.8,3480021099.888,0.0003057138935261743
2,HUN,Hungary,474891.45,3480021099.888,0.000136462232948899
2,IND,India,168649789.377,3480021099.888,0.048462289318426194
2,IRL,Ireland,1051213.872,3480021099.888,0.00030207112021068836
2,IRN,Iran,63910030.022,3480021099.888,0.018364839806303723
2,IRQ,Iraq,5674784.761,3480021099.888,0.0016306753890608983
2,ISR,Israel,1810231.19,3480021099.888,0.0005201782224993579
2,ITA,Italy,49948833.784,3480021099.888,0.014353026131251773
2,JAM,Jamaica,80010.0,3480021099.888,2.2991239910176124e-05
2,JOR,Jordan,1811030.23,3480021099.888,0.0005204078303026053
2,JPN,Japan,678430979.784,3480021099.888,0.1949502489527533
2,KAZ,Kazakhstan,431399.5,3480021099.888,0.0001239646219426325
2,KEN,Kenya,84910.0,3480021099.888,2.4399277349994436e-05
2,KGZ,Kyrgyzstan,37243.75,3480021099.888,1.070216212229249e-05
2,KHM,Cambodia,1716325.099,3480021099.888,0.000493193877202422
2,KIR,Kiribati,46.049,3480021099.888,1.3232391033917015e-08
2,KOR,Rep. of Korea,51128413.698,3480021099.888,0.014691983821490479
2,KWT,Kuwait,1550044.71,3480021099.888,0.00044541244593312556
2,LAO,Lao People's Dem. Rep.,625.0,3480021099.888,1.7959661222172325e-07
2,LBN,Lebanon,2917894.73,3480021099.888,0.0008384704133241918
2,LBY,Libya,572445.0,3480021099.888,0.000164494692293223
2,LKA,Sri Lanka,1097595.99,3480021099.888,0.0003153992342274375
2,LTU,Lithuania,295383.75,3480021099.888,8.487987328855751e-05
2,LVA,Latvia,774608.1900000001,3480021099.888,0.0002225872107571215
2,MAC,"China, Macao SAR",469424.4,3480021099.888,0.00013489125109474417
2,MAR,Morocco,21905752.380000003,3480021099.888,0.006294718264985523
2,MDV,Maldives,1354828.105,3480021099.888,0.00038931606048124345
2,MEX,Mexico,3774729.71,3480021099.888,0.0010846858687499005
2,MKD,North Macedonia,8827.65,3480021099.888,2.5366656542065523e-06
2,MLT,Malta,33431.12,3480021099.888,9.606585431644635e-06
2,MMR,Myanmar,786988.3999999999,3480021099.888,0.00022614472079647108
2,MNE,Montenegro,16900.0,3480021099.888,4.856292394475397e-06
2,MNG,Mongolia,3737.0,3480021099.888,1.0738440637961278e-06
2,MUS,Mauritius,321182.16,3480021099.888,9.229316454728875e-05
2,MYS,Malaysia,191565921.5,3480021099.888,0.05504734482965212
2,NCL,New Caledonia,1286.63,3480021099.888,3.697190226925373e-07
2,NGA,Nigeria,2051778.784,3480021099.888,0.000589588029815691
2,NLD,Netherlands,56766486.382999994,3480021099.888,0.016312109827387813
2,NOR,Norway,703406.14,3480021099.888,0.0002021269756159347
2,NPL,Nepal,4318172.24,3480021099.888,0.0012408465684702243
2,NZL,New Zealand,5703335.259,3480021099.888,0.0016388795054097672
2,OMN,Oman,1403399.2199999997,3480021099.888,0.00040327319281057415
2,PAK,Pakistan,34602348.56,3480021099.888,0.009943143322065959
2,PAN,Panama,115977.25,3480021099.888,3.332659391166696e-05
2,PER,Peru,5257735.66,3480021099.888,0.001510834419989354
2,PHL,Philippines,36596131.166999996,3480021099.888,0.01051606588482403
2,PNG,Papua New Guinea,195505.081,3480021099.888,5.6179280351573755e-05
2,POL,Poland,11764914.824000001,3480021099.888,0.003380702152748051
2,PRT,Portugal,9745036.253999999,3480021099.888,0.0028002807955140358
2,PRY,Paraguay,567281.88,3480021099.888,0.00016301104611643225
2,PYF,French Polynesia,10.0,3480021099.888,2.8735457955475723e-09
2,QAT,Qatar,2297494.772,3480021099.888,0.0006601956442373127
2,ROU,Romania,1594878.985,3480021099.888,0.000458295780175393
2,RUS,Russian Federation,38075004.083,3480021099.888,0.010941026789816129
2,S19,"Other Asia, nes",50442537.622999996,3480021099.888,0.014494894190332187
2,SAU,Saudi Arabia,35925586.968,3480021099.888,0.010323381938447505
2,SDN,Sudan,1089083.49,3480021099.888,0.00031295312836897765
2,SEN,Senegal,286715.05,3480021099.888,8.23888826447712e-05
2,SGP,Singapore,88716344.855,3480021099.888,0.025493047975443373
2,SOM,Somalia,8400.0,3480021099.888,2.4137784682599607e-06
2,SRB,Serbia,29031.7,3480021099.888,8.342391947259846e-06
2,SUR,Suriname,54991.19,3480021099.888,1.580197028166577e-05
2,SVK,Slovakia,307625.25,3480021099.888,8.839752437417708e-05
2,SVN,Slovenia,773682.76,3480021099.888,0.00022232128420856414
2,SWE,Sweden,2417025.524,3480021099.888,0.0006945433532221368
2,SWZ,Eswatini,4732.2,3480021099.888,1.359819341369022e-06
2,SYR,Syria,1342252.42,3480021099.888,0.0003857023798054554
2,TGO,Togo,162869.0,3480021099.888,4.680115301750375e-05
2,THA,Thailand,125170421.972,3480021099.888,0.03596829397845561
2,TLS,Timor-Leste,4101160.385,3480021099.888,0.0011784872181183012
2,TTO,Trinidad and Tobago,35116.0,3480021099.888,1.0090743415644855e-05
2,TUN,Tunisia,1027863.35,3480021099.888,0.00029536124077899424
2,TUR,Türkiye,8941440.326000001,3480021099.888,0.002569363825491682
2,UGA,Uganda,18785.0,3480021099.888,5.397955776936114e-06
2,UKR,Ukraine,847020.55,3480021099.888,0.00024339523401948924
2,URY,Uruguay,1746357.12,3480021099.888,0.0005018237159700568
2,USA,USA,346045746.218,3480021099.888,0.0994378299111856
2,UZB,Uzbekistan,103500.33,3480021099.888,2.9741293810928625e-05
2,VEN,Venezuela,264073.0,3480021099.888,7.58825858867634e-05
2,VGB,Br. Virgin Isds,29940.0,3480021099.888,8.60339611186943e-06
2,VNM,Viet Nam,111847039.827,3480021099.888,0.03213975910393177
2,VUT,Vanuatu,9168.0,3480021099.888,2.634466785358014e-06
2,WSM,Samoa,30646.8,3480021099.888,8.806498328698734e-06
2,YEM,Yemen,281715.75,3480021099.888,8.095231089520309e-05
2,ZAF,South Africa,2406935.53,3480021099.888,0.0006916439472385566
2,ZMB,Zambia,8880.2,3480021099.888,2.551766137362155e-06
3,AFG,Afghanistan,20265.0,28451802106.184,7.122571682584353e-07
3,AGO,Angola,85700426.25,28451802106.184,0.003012126470237645
3,ALB,Albania,4400790.77,28451802106.184,0.00015467529099126863
3,ARE,United Arab Emirates,255562494.52,28451802106.184,0.008982295517388458
3,ARG,Argentina,1982173.84,28451802106.184,6.966777825188004e-05
3,ASM,American Samoa,46467.0,28451802106.184,1.6331830168993198e-06
3,ATG,Antigua and Barbuda,65237.66,28451802106.184,2.2929183802322525e-06
3,AUS,Australia,5254323.101,28451802106.184,0.00018467452716669828
3,AUT,Austria,397.5,28451802106.184,1.3970995528385297e-08
3,AZE,Azerbaijan,253126.4,28451802106.184,8.896673717022057e-06
3,BEL,Belgium,19998773.2,28451802106.184,0.0007029000527053879
3,BEN,Benin,187799386.957,28451802106.184,0.0066006148312194885
3,BFA,Burkina Faso,9688864.0,28451802106.184,0.00034053603929341705
3,BGD,Bangladesh,1172122125.9,28451802106.184,0.04119676221300722
3,BGR,Bulgaria,8635134.47,28451802106.184,0.00030350044042107104
3,BHR,Bahrain,3687216.8,28451802106.184,0.00012959519352198021
3,BIH,Bosnia Herzegovina,541497.6,28451802106.184,1.9032102008129232e-05
3,BLR,Belarus,620020.968,28451802106.184,2.1791975274045593e-05
3,BOL,Bolivia (Plurinational State of),859557.5,28451802106.184,3.0211003745635332e-05
3,BRA,Brazil,301395598.62,28451802106.184,0.01059319889457869
3,BRB,Barbados,19989.81,28451802106.184,7.025850216937653e-07
3,BRN,Brunei Darussalam,3094623.19,28451802106.184,0.0001087672119484967
3,CAF,Central African Rep.,1.689,28451802106.184,5.936355081117677e-11
3,CAN,Canada,12612373.2,28451802106.184,0.00044328908070321145
3,CHE,Switzerland,874762.96,28451802106.184,3.074543245926311e-05
3,CHL,Chile,12822496.367,28451802106.184,0.00045067431297130493
3,CHN,China,6078829881.096,28451802106.184,0.2136535977021563
3,CIV,Côte d'Ivoire,74774704.67,28451802106.184,0.0026281184014613867
3,CMR,Cameroon,46061736.9,28451802106.184,0.0016189391704643018
3,COD,Dem. Rep. of the Congo,7523283.23,28451802106.184,0.0002644220285914619
3,COG,Congo,68148428.845,28451802106.184,0.002395223634364726
3,COL,Colombia,2820960.99,28451802106.184,9.914876321267765e-05
3,COM,Comoros,1213000.47,28451802106.184,4.2633519854840914e-05
3,CRI,Costa Rica,591602.05,28451802106.184,2.0793131056939812e-05
3,CUB,Cuba,432764.37,28451802106.184,1.5210437932363472e-05
3,CYP,Cyprus,163328.65,28451802106.184,5.740537959263414e-06
3,DEU,Germany,54642054.036,28451802106.184,0.0019205129373553302
3,DJI,Djibouti,364040317.16,28451802106.184,0.012794982750174403
3,DMA,Dominica,201923.61,28451802106.184,7.097041138076519e-06
3,DNK,Denmark,19268830.376,28451802106.184,0.0006772446365290837
3,DOM,Dominican Rep.,7360472.08,28451802106.184,0.00025869967928675427
3,DZA,Algeria,214339075.538,28451802106.184,0.007533409473961349
3,ECU,Ecuador,1065860.76,28451802106.184,3.746197713670781e-05
3,EGY,Egypt,866854138.09,28451802106.184,0.030467459841553916
3,ESP,Spain,687467400.988,28451802106.184,0.02416252574871449
3,EST,Estonia,276339381.907,28451802106.184,0.009712544072803657
3,ETH,Ethiopia,140238.0,28451802106.184,4.9289672224143326e-06
3,FIN,Finland,432006.275,28451802106.184,1.5183793047193431e-05
3,FJI,Fiji,2381004.86,28451802106.184,8.368555535125448e-05
3,FRA,France,15422098.071,28451802106.184,0.0005420429262597749
3,FSM,FS Micronesia,228445.35,28451802106.184,8.02920493919601e-06
3,GAB,Gabon,1614853.24,28451802106.184,5.675750288060002e-05
3,GBR,United Kingdom,55030240.359,28451802106.184,0.0019341565836014014
3,GEO,Georgia,39498466.38,28451802106.184,0.001388258860812722
3,GHA,Ghana,65587600.701,28451802106.184,0.002305217801537588
3,GIN,Guinea,90110657.86,28451802106.184,0.003167133579929352
3,GMB,Gambia,50195096.71,28451802106.184,0.0017642150231000691
3,GNB,Guinea-Bissau,856846.6,28451802106.184,3.0115723313489672e-05
