id,id_label,sector_52,emp
1400,RIAU,22,389
1400,RIAU,23,13989
1400,RIAU,24,6154
1400,RIAU,25,1191
1400,RIAU,26,5814
1400,RIAU,27,13699
1400,RIAU,28,7701
1400,RIAU,29,540
1400,RIAU,30,13992
1400,RIAU,31,159543
1400,RIAU,32,5581
1400,RIAU,33,574738
1400,RIAU,34,445
1400,RIAU,35,61932
1400,RIAU,36,1544
1400,RIAU,37,6448
1400,RIAU,38,542
1400,RIAU,39,38019
1400,RIAU,40,7276
1400,RIAU,41,220173
1400,RIAU,42,6183
1400,RIAU,43,14757
1400,RIAU,44,610
1400,RIAU,45,491
1400,RIAU,46,8780
1400,RIAU,47,10301
1400,RIAU,48,70473
1400,RIAU,49,125302
1400,RIAU,50,190374
1400,RIAU,51,52364
1400,RIAU,52,152
1500,JAMBI,1,97754
1500,JAMBI,2,295748
1500,JAMBI,3,370156
1500,JAMBI,4,8206
1500,JAMBI,5,21480
1500,JAMBI,6,9809
1500,JAMBI,7,20072
1500,JAMBI,8,9381
1500,JAMBI,9,9526
1500,JAMBI,10,53641
1500,JAMBI,12,41678
1500,JAMBI,14,12084
1500,JAMBI,16,6709
1500,JAMBI,17,2020
1500,JAMBI,19,100
1500,JAMBI,20,1858
1500,JAMBI,21,140
1500,JAMBI,18,901
1500,JAMBI,23,7366
1500,JAMBI,24,1462
1500,JAMBI,25,368
1500,JAMBI,26,3986
1500,JAMBI,27,6943
1500,JAMBI,28,2941
1500,JAMBI,30,5067
1500,JAMBI,31,83666
1500,JAMBI,32,1247
1500,JAMBI,33,306190
1500,JAMBI,34,254
1500,JAMBI,35,35613
1500,JAMBI,36,560
1500,JAMBI,37,2554
1500,JAMBI,39,15917
1500,JAMBI,40,5392
1500,JAMBI,41,98047
1500,JAMBI,42,3814
1500,JAMBI,43,9090
1500,JAMBI,44,1000
1500,JAMBI,46,7105
1500,JAMBI,47,3122
1500,JAMBI,48,27720
1500,JAMBI,49,87059
1500,JAMBI,50,92464
1500,JAMBI,51,27365
1500,JAMBI,52,147
1600,SUMATERA SELATAN,1,414195
1600,SUMATERA SELATAN,2,896935
1600,SUMATERA SELATAN,3,622962
1600,SUMATERA SELATAN,4,31104
1600,SUMATERA SELATAN,5,63694
1600,SUMATERA SELATAN,6,17225
1600,SUMATERA SELATAN,7,41219
1600,SUMATERA SELATAN,8,39037
1600,SUMATERA SELATAN,9,24777
1600,SUMATERA SELATAN,10,38761
1600,SUMATERA SELATAN,11,1199
1600,SUMATERA SELATAN,12,119592
1600,SUMATERA SELATAN,13,350
1600,SUMATERA SELATAN,14,46215
1600,SUMATERA SELATAN,15,250
1600,SUMATERA SELATAN,16,14173
1600,SUMATERA SELATAN,17,7707
1600,SUMATERA SELATAN,18,7090
1600,SUMATERA SELATAN,19,1938
1600,SUMATERA SELATAN,20,10816
1600,SUMATERA SELATAN,21,2150
1600,SUMATERA SELATAN,22,100
1600,SUMATERA SELATAN,23,16594
1600,SUMATERA SELATAN,24,8231
1600,SUMATERA SELATAN,25,3945
1600,SUMATERA SELATAN,26,8985
1600,SUMATERA SELATAN,27,16944
1600,SUMATERA SELATAN,28,11380
1600,SUMATERA SELATAN,29,1715
1600,SUMATERA SELATAN,30,15001
1600,SUMATERA SELATAN,31,209627
1600,SUMATERA SELATAN,32,6914
1600,SUMATERA SELATAN,33,759265
1600,SUMATERA SELATAN,34,2252
1600,SUMATERA SELATAN,35,129001
1600,SUMATERA SELATAN,36,774
1600,SUMATERA SELATAN,37,4479
1600,SUMATERA SELATAN,39,39059
1600,SUMATERA SELATAN,40,16728
1600,SUMATERA SELATAN,41,210744
1600,SUMATERA SELATAN,42,14454
1600,SUMATERA SELATAN,43,14455
1600,SUMATERA SELATAN,44,2146
1600,SUMATERA SELATAN,46,10996
1600,SUMATERA SELATAN,47,8646
1600,SUMATERA SELATAN,48,58521
1600,SUMATERA SELATAN,49,137201
1600,SUMATERA SELATAN,50,212572
1600,SUMATERA SELATAN,51,66199
1700,BENGKULU,1,80738
1700,BENGKULU,2,112711
1700,BENGKULU,3,272238
1700,BENGKULU,4,10377
1700,BENGKULU,5,18297
