,1100,1200,1300,1400,1500,1600,1700,1800,1900,2100,3100,3200,3300,3400,3500,3600,5100,5200,5300,6100,6200,6300,6400,6500,7100,7200,7300,7400,7500,7600,8100,8200,9100,9400
s01,-2.14898347621784E-0004,-1.50969251990318E-0004,-2.44777009356767E-0004,-1.80623828782700E-0004,-3.33966600010172E-0004,-1.96307941223495E-0004,-6.62856618873775E-0005,-9.90101034403779E-0005,-4.25261496275198E-0005,-4.19207681261469E-0005,-2.68707390205236E-0005,-2.59375246969284E-0005,1.21220997243654E-0004,-2.57010560744675E-0005,1.33201363496482E-0004,-7.14441966920276E-0006,2.92984332190827E-0005,-8.62213801156031E-0006,1.15893462862005E-0005,-6.14389355177991E-0005,-1.92663574125618E-0004,2.93628090730635E-0005,-5.47476120118517E-0005,-6.03422231506556E-0005,-4.83092917420436E-0005,-3.00259183859453E-0004,-1.78195950866211E-0005,3.00491979032813E-0006,-4.30778927693609E-0005,-5.64578185731079E-0005,-2.90938878606539E-0005,-1.96947712538531E-0005,-3.99178861698601E-0005,-4.86292447021697E-0005
s02,-1.39508978463709E-0004,-8.60172513057478E-0005,-1.21712073450908E-0004,-2.95476093015168E-0005,-1.59207862452604E-0004,-5.04411873407662E-0005,-4.92652834509499E-0005,-7.89542536949739E-0005,-5.48654716112651E-0005,-4.31113367085345E-0005,-8.00023626652546E-0005,-1.02317266282625E-0004,-5.70256561331917E-0005,-1.05513390735723E-0004,-4.43915778305382E-0005,-7.65295335440897E-0005,-3.55914962710813E-0005,-5.99919476371724E-0005,-1.26283503050217E-0005,-2.25934363697888E-0005,-7.21869873814285E-0005,-3.64548213838134E-0005,-4.02173354814295E-0005,-3.72404392692260E-0005,-5.33812344656326E-0005,3.68156870536041E-0005,-4.09708518418483E-0005,4.43824683316052E-0006,-3.65337255061604E-0005,-4.21358927269466E-0005,-3.25540022458881E-0005,-4.93992229166906E-0005,-4.56284469692036E-0005,-4.74427324661519E-0005
s03,-2.70190037554130E-0004,-1.66035082656890E-0004,-3.28797905240208E-0004,-1.63860866450705E-0004,-4.81204158859327E-0004,-1.94324253243394E-0004,-7.69061807659455E-0006,-7.25621866877191E-0005,3.20858198392671E-0005,3.33602911268827E-0005,4.32161868957337E-0005,4.86211247334722E-0005,1.43722878419794E-0004,-5.54579128220212E-0005,2.00970811420120E-0004,5.71844575461000E-0005,6.84197220834903E-0005,-1.29434329210198E-0005,7.95708183431998E-0005,-1.60655035870150E-0005,-1.92721796338446E-0004,1.09046013676561E-0004,-4.17844676121604E-0005,-6.73412578180432E-0005,-3.42713829013519E-0005,-4.56125388154760E-0004,1.94038784684381E-0005,6.23141895630397E-0005,-1.33470736685126E-0008,-3.71056921721902E-0005,5.91581829212373E-0006,3.72232352674473E-0005,-1.20342810987495E-0005,1.33195289890864E-0005
s04,-2.59060849202797E-0004,-2.03601201064885E-0004,-6.83551406837069E-0005,1.88419609912671E-0004,6.20758626610041E-0004,1.70411905855872E-0004,-3.19179489451926E-0005,-1.48063496453688E-0004,-5.92275791859720E-0005,-4.90534375785501E-0006,-7.78244429966435E-0005,-6.78700816933997E-0005,6.08884256507736E-0005,-1.29050022223964E-0004,5.10428508277982E-0005,-5.24711431353353E-0005,-2.69419233518420E-0005,-7.76458982727490E-0005,-1.80521907168441E-0004,-1.03549624327570E-0004,2.83533940091729E-0004,-2.80541571555659E-0005,1.46775957546197E-0004,9.66822626651265E-0005,2.13235744013218E-0005,2.90409225272015E-0004,-5.83059736527503E-0005,-8.05608724476770E-0005,-1.63331023941282E-0005,-6.25119719188660E-0005,-4.11238625019905E-0006,-3.63818980986252E-0005,-3.13700547849294E-0005,6.96594870532863E-0005
s05,-2.32788239372894E-0004,-1.50306019349955E-0004,-2.70844990154728E-0004,-1.55016692588106E-0004,-4.44761535618454E-0004,-1.85393466381356E-0004,-1.68741062225308E-0005,-7.95074665802531E-0005,3.11730873363558E-0005,1.20360527944285E-0005,-2.67448031081585E-0005,-2.43570666498272E-0005,8.77408456290141E-0005,-4.18914423789829E-0005,1.17651296022814E-0004,-5.78049412069959E-0006,1.82887506525731E-0005,-1.14154599941685E-0005,1.92666120710783E-0005,-1.37042807182297E-0005,-1.83809184818529E-0004,8.63695458974689E-0005,-3.47420609614346E-0005,-5.17055996169802E-0005,-3.26133194903377E-0005,-3.72004695236683E-0004,-7.16763543096022E-0006,2.87496550299693E-0005,-2.29734214372002E-0005,-3.42728199029807E-0005,-5.61272190680029E-0006,3.05069570458727E-0005,-1.22456658573356E-0005,-1.10783266791259E-0005
s06,2.44522541761398E-0002,2.84069459885359E-0002,3.92856933176518E-0002,2.32605133205652E-0002,2.89890561252832E-0002,2.20892317593098E-0002,2.95462310314178E-0002,2.54473518580198E-0002,2.30831447988749E-0002,3.02833467721939E-0002,2.55785621702671E-0002,2.17139124870300E-0002,2.04248614609241E-0002,2.25592628121376E-0002,2.66918856650591E-0002,2.36533060669899E-0002,1.65235474705696E-0002,1.63520853966475E-0002,1.68023016303778E-0002,2.24471949040890E-0002,2.06046756356955E-0002,2.01915055513382E-0002,1.85461640357971E-0002,1.81846562772989E-0002,1.62305422127247E-0002,1.84874162077904E-0002,2.16470696032047E-0002,1.64275821298361E-0002,1.48051744326949E-0002,1.85527261346579E-0002,1.45411342382431E-0002,1.30719989538193E-0002,1.65617763996124E-0002,1.55257508158684E-0002
s07,-9.51993133639917E-0005,-3.45702428603545E-0005,-2.37288568314398E-0005,5.55443657503929E-0005,1.13048539787997E-0004,-7.14249981683679E-0005,-8.22872971184552E-0005,-9.91017659544013E-0005,-1.27035746118054E-0004,-1.16054405225441E-0004,-8.66450573084876E-0005,-1.01160432677716E-0004,-1.33993453346193E-0004,-1.37491500936449E-0004,-8.93486212589778E-0005,-9.51844704104587E-0005,-8.05738163762726E-0005,-1.24749800306745E-0004,-1.71226594829932E-0004,-6.97476643836126E-0005,3.62898208550178E-0005,-1.24833240988664E-0004,-3.30898692482151E-0005,-1.46290418342687E-0004,-1.60892566782422E-0004,-2.17269727727398E-0004,-1.42375967698172E-0004,-1.35439549922012E-0004,-1.48863095091656E-0004,-1.51911532157101E-0004,-1.59262359375134E-0004,-1.48896491737105E-0004,-1.29737542010844E-0004,-1.25569669762626E-0004
s08,-1.13437410618644E-0004,-8.17136533441953E-0005,-2.13084058486857E-0004,-3.01548716379330E-0004,-2.32487233006395E-0004,-8.77675702213310E-0005,-2.39080691244453E-0005,-2.66092647507321E-0005,-6.22314246356836E-0006,-9.08469428395620E-0006,1.38873174364562E-0005,2.36829546338413E-0005,7.34034620109014E-0005,-6.13485440226214E-0007,8.15699604572728E-0005,2.12783925235271E-0005,2.85837650153553E-0005,1.03107631730381E-0005,1.34145993797574E-0005,-3.16930163535289E-0005,-9.07508656382561E-0005,3.44556792697404E-0005,-2.23840288526844E-0005,-2.16120188269997E-0005,-2.04425905394601E-0005,-1.39051466248930E-0004,1.42416558901459E-0006,9.24820142245153E-0006,-9.14198426471558E-0006,-2.18773438973585E-0005,-8.35903938423144E-0006,-3.44789918926836E-0006,-1.81026825885056E-0005,-1.34699766931590E-0005
s09,-1.03531448985450E-0004,-6.78173819324002E-0005,-1.10252578451764E-0004,-7.18476803740487E-0005,-1.77299618371762E-0004,-8.67392082000151E-0005,-2.55733502854127E-0005,-2.79858559224522E-0005,6.78643971241399E-0007,1.51491858559893E-0005,1.06660127130453E-0005,9.35572825255804E-0006,4.77738904010039E-0005,-5.75787862544530E-0006,7.60494513087906E-0005,1.34724823510624E-0005,2.05025135073811E-0005,7.08773177393596E-0006,1.62090501021339E-0007,-2.63877227553166E-0005,-8.55479665915482E-0005,2.92532458843198E-0005,-2.83419140032493E-0005,-2.24869818339357E-0005,-2.15535474126227E-0005,-1.55553163494915E-0004,-1.49425659401459E-0005,3.82924872610602E-0006,-1.52008788063540E-0005,-2.87697039311752E-0005,-2.63538754552428E-0006,-5.21540778208873E-0006,-3.00328192679444E-0005,-1.53918663272634E-0005
