,1100,1200,1300,1400,1500,1600,1700,1800,1900,2100,3100,3200,3300,3400,3500,3600,5100,5200,5300,6100,6200,6300,6400,6500,7100,7200,7300,7400,7500,7600,8100,8200,9100,9400
s01,-2.33387065236457E-0004,-1.97072949958965E-0004,-2.49885633820668E-0004,-4.00005170376971E-0004,-2.96698271995410E-0004,-1.87503013876267E-0004,-2.12780287256464E-0004,-2.54352926276624E-0004,-2.36168183619156E-0004,-2.03173360205255E-0004,-1.58098031533882E-0004,-1.61834075697698E-0004,5.49563010281418E-0005,-1.05419014289510E-0004,-3.00731102470309E-0004,-7.39082133804914E-0006,-1.51878004544415E-0004,-1.83284413651563E-0004,-1.67475591297261E-0004,-1.88388556125574E-0004,-1.98856127099134E-0004,-2.19684399780817E-0004,-1.54073368321406E-0005,-2.62672052485868E-0004,-1.36343936901540E-0004,-2.86175840301439E-0004,-1.54486056999303E-0004,-1.57103582751006E-0004,-1.71109611983411E-0004,-1.45583457197063E-0004,-2.96396610792726E-0004,-2.03319839783944E-0004,-6.26018270850182E-0004,-2.25899522774853E-0004
s02,-3.25335247907788E-0004,-2.08576879231259E-0004,-2.74317746516317E-0004,-2.99334205919877E-0004,-2.48173164436594E-0004,-2.87571165245026E-0004,-3.33063508151099E-0004,-3.57955897925422E-0004,-2.74457415798679E-0004,-2.64700094703585E-0004,-2.64147645793855E-0004,-3.25947650708258E-0004,-2.51491146627814E-0004,-3.05467925500125E-0004,-3.51328373653814E-0004,-2.15876920265146E-0004,-2.78184132184833E-0004,-3.28403082676232E-0004,-2.54205253440887E-0004,-2.96462414553389E-0004,-3.31703660776839E-0004,-3.18011792842299E-0004,-3.59590369043872E-0004,-3.37080680765212E-0004,-2.99102423014119E-0004,-2.28701901505701E-0004,-2.71729251835495E-0004,-2.05413831281476E-0004,-3.01496882457286E-0004,-2.54508282523602E-0004,-1.02508136478718E-0004,-2.20492482185364E-0004,-1.11362067400478E-0004,-2.45882634771988E-0004
s03,-1.93496103747748E-0004,-7.35078938305378E-0005,-1.76631583599374E-0004,-3.87745298212394E-0004,-2.83116678474471E-0004,-7.39823444746435E-0005,-1.79840586497448E-0004,-1.90004226169549E-0004,-2.33448954531923E-0004,-2.89820076432079E-0004,-4.43835378973745E-0005,-1.34559653815813E-0004,3.11687253997661E-0005,-1.58981143613346E-0004,-4.56371140899137E-0004,5.99156264797784E-0005,-2.00665584998205E-0004,-2.02894545509480E-0004,-2.31985002756119E-0004,-1.35619935463183E-0004,-1.04985003417823E-0004,-1.61090632900596E-0004,2.27706230361946E-0004,-1.92432620679028E-0004,-1.53539454913698E-0004,-4.70998435048386E-0004,-2.36522828345187E-0004,-2.02190843992867E-0004,-2.10854530450888E-0004,-2.20178364543244E-0004,-4.93537809234113E-0004,-3.00811690976843E-0004,-1.21904036495835E-0003,-2.97688267892227E-0004
s04,-1.18891743477434E-0003,-1.02514016907662E-0003,-1.19440059643239E-0003,-5.47884847037494E-0004,-7.95304949861020E-0004,-1.26667437143624E-0003,-8.11242440249771E-0004,-1.15627481136471E-0003,-6.33619900327176E-0004,-3.55692318407819E-0005,-4.08586085541174E-0004,-5.62701257877052E-0004,-3.96005983930081E-0004,-5.86802954785526E-0004,-9.59215336479247E-0004,-4.49478364316747E-0004,-1.19495613034815E-0003,-1.44618342164904E-0003,-2.24023056216538E-0003,-1.07548898085952E-0003,-9.86131723038852E-0004,-9.93178924545646E-0004,-2.27360660210252E-0003,-6.74414855893701E-0004,-1.42207194585353E-0003,-1.01219664793462E-0003,-9.81879304163158E-0004,-7.68391124438494E-0004,-2.36800964921713E-0003,-1.29928882233799E-0003,-4.89187834318727E-0004,-8.21091060061008E-0004,-2.62936460785568E-0004,-1.60851341206580E-0003
s05,-1.72770756762475E-0004,-6.48030545562506E-0005,-1.56687034177594E-0004,-3.25647008139640E-0004,-2.26029966142960E-0004,-4.20998694607988E-0005,-1.42342178151011E-0004,-2.05800126423128E-0004,-1.75607754499651E-0004,-1.84944175998680E-0004,-1.08749714854639E-0004,-1.28725456306711E-0004,2.38212978729280E-0005,-1.07960324385203E-0004,-3.37754579959437E-0004,-1.20984477689490E-0005,-2.28041346417740E-0004,-1.73315478605218E-0004,-2.54815706284717E-0004,-8.76303747645579E-0005,-5.00985115650110E-0005,-1.25774531625211E-0004,2.48262542299926E-0004,-1.51969841681421E-0004,-1.48290258948691E-0004,-3.40946309734136E-0004,-1.37439463287592E-0004,-1.12925743451342E-0004,-1.88843929208815E-0004,-1.45300771691836E-0004,-2.70921591436490E-0004,-2.11317325010896E-0004,-9.40815370995551E-0004,-3.12778138322756E-0004
s06,-6.72765236231498E-0005,-4.33345376222860E-0005,-8.41873843455687E-0005,-1.82208925252780E-0004,-1.18272568215616E-0004,-4.63583819509950E-0005,-8.20544446469285E-0005,-8.94573240657337E-0005,-5.43540299986489E-0005,6.32640076219104E-0005,-6.62380189169198E-0005,-5.42668567504734E-0005,5.89622177358251E-0005,8.80803509062389E-0006,-6.53885508654639E-0005,1.61767766257981E-0005,-2.93260563921649E-0005,-6.04992419539485E-0005,-3.08837479678914E-0005,-4.97036235174164E-0005,-4.86036842630710E-0005,-5.77529972360935E-0005,1.08643485873472E-0004,-7.33500855858438E-0005,-3.48358589690179E-0005,-1.10492968815379E-0004,-7.48590609873645E-0005,-4.46261474280618E-0005,-4.70274317194708E-0005,-5.99075501668267E-0005,6.59575089230202E-0005,-5.54029793420341E-0005,-1.79445894900709E-0004,-1.11617482616566E-0004
s07,-4.26306796725839E-0004,-3.88066837331280E-0004,-3.74314491637051E-0004,-2.49987147981301E-0004,-3.60965612344444E-0004,-4.60327923065051E-0004,-4.34163375757635E-0004,-4.24648867920041E-0004,-4.80863149277866E-0004,-4.03339916374534E-0004,-3.83034552214667E-0004,-4.29119769250974E-0004,-4.66116791358218E-0004,-4.81634226161987E-0004,-3.78972938051447E-0004,-4.25540609285235E-0004,-3.01224907161668E-0004,-3.90360597521067E-0004,-4.65032964712009E-0004,-4.07625891966745E-0004,-4.44526027422398E-0004,-4.49307437520474E-0004,-7.10280844941735E-0004,-4.87975368741900E-0004,-4.66079131001607E-0004,-5.01295435242355E-0004,-4.37352340668440E-0004,-4.57242742413655E-0004,-4.67234174720943E-0004,-4.50363848358393E-0004,-5.50065771676600E-0004,-4.98670851811767E-0004,-5.33966929651797E-0004,-4.76699642604217E-0004
s08,-1.36560178361833E-0004,-1.24947066069581E-0004,-1.14951362775173E-0004,-2.43505317484960E-0004,-1.33620400447398E-0004,-4.85733507957775E-0005,-7.13334229658358E-0005,-1.12608329800423E-0004,-1.28403393318877E-0004,-1.54831810505129E-0004,-8.88156646396965E-0005,-6.89365188009106E-0005,1.22806095532724E-0005,-6.89551961841062E-0005,-1.74287401023321E-0004,7.06697301211534E-0006,-8.45225076773204E-0005,-9.98615723801777E-0005,-9.33449628064409E-0005,-1.00173201644793E-0004,-5.52399105799850E-0005,-6.79124059388414E-0005,9.09441296244040E-0005,-9.56286603468470E-0005,-1.01208039268386E-0004,-1.37483904836699E-0004,-8.02139329607598E-0005,-9.68257227214053E-0005,-8.82833992363885E-0005,-1.07252300949767E-0004,-1.76691930391826E-0004,-1.21018063509837E-0004,-4.47222206275910E-0004,-1.36155722429976E-0004
s09,1.29803977906704E-0002,1.06094973161817E-0002,1.27829704433680E-0002,2.34786868095398E-0002,6.87616830691695E-0003,7.56551092490554E-0003,1.13346539437771E-0002,1.30618829280138E-0002,3.32947559654713E-0002,1.48557666689157E-0002,8.07302165776491E-0003,1.02575207129121E-0002,7.39238131791353E-0003,9.11939330399036E-0003,2.05467492341995E-0002,8.33011791110039E-0003,1.02227758616209E-0002,1.01877879351377E-0002,7.30109214782715E-0003,1.08285471796989E-0002,8.69773793965578E-0003,1.96004435420036E-0002,1.15535045042634E-0002,1.73173509538174E-0002,1.02569898590446E-0002,1.04794306680560E-0002,7.38874869421124E-0003,1.37264858931303E-0002,1.57766453921795E-0002,1.55812986195087E-0002,3.17061990499496E-0002,1.35914096608758E-0002,9.17248055338860E-0003,1.56481321901083E-0002
