,1100,1200,1300,1400,1500,1600,1700,1800,1900,2100,3100,3200,3300,3400,3500,3600,5100,5200,5300,6100,6200,6300,6400,6500,7100,7200,7300,7400,7500,7600,8100,8200,9100,9400
s01,-6.11968943849206E-0003,-5.92838693410158E-0003,-5.62667334452271E-0003,-4.73115174099803E-0003,-2.46655917726457E-0003,-2.85063241608441E-0003,-3.59548395499587E-0003,-5.82237914204598E-0003,-4.29288111627102E-0003,-4.45902720093727E-0003,-2.62616924010217E-0003,-9.12216212600470E-0003,-8.90731811523437E-0003,-1.08338193967938E-0002,-7.75380339473486E-0003,-7.75243528187275E-0003,-6.48617837578058E-0003,-5.93977095559239E-0003,-7.11261853575706E-0003,-3.49688366986811E-0003,-3.37542826309800E-0003,-3.82197671569884E-0003,-3.30655090510845E-0003,-4.06116852536798E-0003,-7.12937349453569E-0003,-6.71380385756493E-0003,-8.97246133536100E-0003,-7.30577111244202E-0003,-6.34361756965518E-0003,-7.15714506804943E-0003,-6.01995084434748E-0003,-5.06997527554631E-0003,-4.57492796704173E-0003,-4.63469792157412E-0003
s02,-1.76411389838904E-0003,-5.62464306131005E-0003,-2.06718523986638E-0003,-1.10663170926273E-0003,-5.39842015132308E-0003,-1.42819969914854E-0003,-3.56962351361290E-0004,-2.41821151576005E-0004,-8.63624794874340E-0004,-4.96758031658828E-0004,1.68667284015100E-0005,-6.02575542870909E-0004,-7.30073312297463E-0004,-1.43495225347579E-0003,-5.67324226722121E-0004,-1.72045466024429E-0003,-2.52112932503223E-0003,-1.70537154190242E-0003,-1.67957006487995E-0003,-1.61986716557294E-0003,-7.80271075200290E-0004,-7.71110586356372E-0004,-8.04352981504053E-0004,-1.36671203654259E-0003,-1.19716266635805E-0003,-7.78122921474278E-0004,-6.60549616441131E-0004,-2.67635076306760E-0003,-7.85298878327012E-0004,-2.64284200966358E-0004,-1.28840468823910E-0003,-1.01578573230654E-0003,-5.58455358259380E-0004,-6.06614456046373E-0004
s03,-2.16309614479542E-0002,-1.81188639253378E-0002,-1.94075927138329E-0002,-1.24498968943954E-0002,-1.60002168267965E-0002,-2.01684907078743E-0002,-1.70520432293415E-0002,-2.31104157865047E-0002,-1.78643129765987E-0002,-1.15382270887494E-0002,-1.62400826811790E-0002,-2.23493836820126E-0002,-1.32452435791492E-0002,-1.64207480847836E-0002,-1.55477831140161E-0002,-2.05750241875649E-0002,-1.73601489514112E-0002,-1.46199353039265E-0002,-1.98839604854584E-0002,-1.36939734220505E-0002,-1.24729666858912E-0002,-1.31599120795727E-0002,-1.33859263733029E-0002,-1.54504142701626E-0002,-1.79413892328739E-0002,-1.57595369964838E-0002,-2.03726477921009E-0002,-1.65883898735046E-0002,-1.68714746832848E-0002,-1.54601428657770E-0002,-1.59488562494516E-0002,-1.69949177652597E-0002,-1.54873877763748E-0002,-1.54589395970106E-0002
s04,-9.68374591320753E-0003,-1.07074556872249E-0002,-9.31857340037823E-0003,-5.66791836172342E-0003,-7.97034334391356E-0003,-5.86226209998131E-0003,-5.61389233916998E-0003,-5.80502254888415E-0003,-8.61881114542484E-0003,-3.15578281879425E-0002,-7.48333288356662E-0003,-8.31009168177843E-0003,-8.32884851843119E-0003,-1.30168898031116E-0002,-1.04211810976267E-0002,-9.06983483582735E-0003,-1.85849796980619E-0002,-1.47549565881491E-0002,-2.39560380578041E-0002,-8.94738920032978E-0003,-9.75032616406679E-0003,-7.40747898817062E-0003,-9.06818266957998E-0003,-6.30973093211651E-0003,-1.68191250413656E-0002,-1.03118205443025E-0002,-6.80049275979400E-0003,-4.81771165505052E-0003,-2.00501065701246E-0002,-1.04986634105444E-0002,-4.08753845840693E-0003,-5.81361446529627E-0003,-7.91239645332098E-0003,-1.38636305928230E-0002
s05,-1.45207410678267E-0002,-1.51617694646120E-0002,-1.41440602019429E-0002,-1.17122754454613E-0002,-1.40753611922264E-0002,-1.62378102540970E-0002,-1.25120347365737E-0002,-1.28628127276897E-0002,-1.57077703624964E-0002,-9.38543397933245E-0003,-9.78427357040346E-0004,-9.27165616303682E-0003,-7.77948927134275E-0003,-9.60901472717524E-0003,-8.38222820311785E-0003,-9.13328956812620E-0003,-8.01564939320087E-0003,-7.10337236523628E-0003,-1.00450962781906E-0002,-1.22207170352340E-0002,-1.13041624426842E-0002,-1.00470818579197E-0002,-1.19380997493863E-0002,-1.22404852882028E-0002,-1.03189935907722E-0002,-1.21917407959700E-0002,-1.10410191118717E-0002,-9.24448575824499E-0003,-8.82258173078299E-0003,-1.26928677782416E-0002,-8.88519175350666E-0003,-1.30800027400255E-0002,-1.18109816685319E-0002,-7.96211510896683E-0003
s06,-1.07894837856293E-0002,-1.08314119279385E-0002,-1.02025680243969E-0002,-9.56680253148079E-0003,-9.03039798140526E-0003,-9.30868554860353E-0003,-9.17494483292103E-0003,-8.56759026646614E-0003,-9.03936568647623E-0003,-8.94916709512472E-0003,-7.90946837514639E-0003,-1.21212871745229E-0002,-1.32145630195737E-0002,-1.35525660589337E-0002,-1.14826690405607E-0002,-1.08820172026753E-0002,-1.13817974925041E-0002,-1.07400426641107E-0002,-1.00731682032347E-0002,-1.08662601560354E-0002,-1.03267719969153E-0002,-1.12674469128251E-0002,-1.04044461622834E-0002,-1.10841523855925E-0002,-9.50192008167505E-0003,-1.04443514719605E-0002,-9.33121237903833E-0003,-1.08309471979737E-0002,-8.82135331630707E-0003,-9.36334300786257E-0003,-8.64377897232771E-0003,-1.01096695289016E-0002,-1.07026593759656E-0002,-1.12714599817991E-0002
s07,3.77781712450087E-0003,3.45486216247082E-0003,3.09251691214740E-0003,1.67358398903161E-0003,2.69047706387937E-0003,4.21840045601130E-0003,4.18676575645804E-0003,4.19991882517934E-0003,4.90140030160546E-0003,2.54525896161795E-0003,2.49295262619853E-0003,4.11485088989139E-0003,3.65630327723920E-0003,3.82859795354307E-0003,1.47957727313042E-0003,3.31937242299318E-0003,-3.38545360136777E-0004,2.97705619595945E-0003,3.18823964335024E-0003,2.08633462898433E-0003,2.11258349008858E-0003,3.17076686769724E-0003,1.18697620928288E-0003,2.43164598941803E-0003,4.10979520529509E-0003,4.03005769476295E-0003,2.59007513523102E-0003,3.52313765324652E-0003,4.18677646666765E-0003,4.07093390822411E-0003,4.41832467913628E-0003,4.54865489155054E-0003,3.98108363151550E-0003,3.78125370480120E-0003
s08,-6.87549868598580E-0003,-6.45659165456891E-0003,-7.07539496943355E-0003,-5.83519926294684E-0003,-5.71023998782039E-0003,-6.49650581181049E-0003,-6.70772558078170E-0003,-6.73304544761777E-0003,-5.53157553076744E-0003,-5.68379275500774E-0003,-5.61409024521708E-0003,-8.37387330830097E-0003,-7.34309433028102E-0003,-8.13783984631300E-0003,-6.51113130152226E-0003,-8.39873589575291E-0003,-6.62810448557138E-0003,-6.38077268376946E-0003,-6.63395226001740E-0003,-5.24709234014153E-0003,-5.55805768817663E-0003,-6.57217856496573E-0003,-6.01114099845290E-0003,-6.24750927090645E-0003,-6.18419097736478E-0003,-6.17713993415236E-0003,-7.05900229513645E-0003,-6.76139350980520E-0003,-6.15103729069233E-0003,-6.05840049684048E-0003,-6.61301147192717E-0003,-6.29095360636711E-0003,-6.42012432217598E-0003,-6.53111189603806E-0003
s09,-5.45041449368000E-0003,-5.08684152737260E-0003,-5.17335673794150E-0003,-4.56872163340449E-0003,-3.42291104607284E-0003,-4.19145775958896E-0003,-4.39996318891644E-0003,-4.96985996142030E-0003,-4.78999223560095E-0003,-4.90188924595714E-0003,-4.71002468839288E-0003,-7.15648056939244E-0003,-5.48265781253576E-0003,-6.62687979638577E-0003,-5.24835335090756E-0003,-6.78990734741092E-0003,-5.25655364617705E-0003,-5.24146808311343E-0003,-4.53628925606608E-0003,-4.47794282808900E-0003,-3.93933756276965E-0003,-5.08075999096036E-0003,-4.19836957007647E-0003,-4.78830188512802E-0003,-4.63235145434737E-0003,-4.01382986456156E-0003,-4.64798836037517E-0003,-5.14778727665544E-0003,-4.59159258753061E-0003,-4.42652124911547E-0003,-5.33070182427764E-0003,-4.57236170768738E-0003,-4.13127569481730E-0003,-4.63822344318032E-0003
